Unnamed: 0,id,date,store_nbr,family,sales,onpromotion,holiday_type,locale,locale_name,description,transferred,dcoilwtico,city,state,store_type,cluster,transactions,year,month,week,quarter,day_of_week
709213,700303,2014-01-29,9,EGGS,110.0,0,,,,,,97.34,Quito,Pichincha,B,6,1692.0,2014,1,5,1,Wednesday
292130,290348,2013-06-12,6,HARDWARE,0.0,0,,,,,,95.98,Quito,Pichincha,D,13,1684.0,2013,6,24,2,Wednesday
1478524,1458922,2015-04-01,43,PERSONAL CARE,288.0,0,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi,False,50.12,Esmeraldas,Esmeraldas,E,10,1391.0,2015,4,14,2,Wednesday
458249,451121,2013-09-11,17,FROZEN FOODS,22.0,0,,,,,,107.65,Quito,Pichincha,C,12,1190.0,2013,9,37,3,Wednesday
974699,961820,2014-06-25,46,BEAUTY,3.0,0,Event,National,Ecuador,Mundial de futbol Brasil: Ecuador-Francia,False,107.04,Quito,Pichincha,A,14,3100.0,2014,6,26,2,Wednesday
1369637,1350035,2015-01-30,39,BREAD/BAKERY,639.0,4,,,,,,47.79,Cuenca,Azuay,B,6,1196.0,2015,1,5,1,Friday
1387136,1367534,2015-02-09,3,HARDWARE,7.0,0,,,,,,52.99,Quito,Pichincha,D,8,2840.0,2015,2,7,1,Monday
438578,431450,2013-08-31,15,DAIRY,141.0,0,,,,,,,Ibarra,Imbabura,C,15,1478.0,2013,8,35,3,Saturday
291313,289531,2013-06-12,32,"LIQUOR,WINE,BEER",28.0,0,,,,,,95.98,Guayaquil,Guayas,C,3,566.0,2013,6,24,2,Wednesday
553036,545908,2013-11-03,26,"LIQUOR,WINE,BEER",0.0,0,Holiday,National,Ecuador,Independencia de Cuenca,False,,Guayaquil,Guayas,D,10,813.0,2013,11,44,4,Sunday
733544,724634,2014-02-12,40,LAWN AND GARDEN,0.0,0,,,,,,100.38,Machala,El Oro,C,3,1128.0,2014,2,7,1,Wednesday
600947,593819,2013-11-30,20,HOME APPLIANCES,0.0,0,,,,,,,Quito,Pichincha,B,6,,2013,11,48,4,Saturday
1040544,1024506,2014-07-30,54,LINGERIE,0.0,0,,,,,,104.29,El Carmen,Manabi,C,3,702.0,2014,7,31,3,Wednesday
182110,182110,2013-04-13,19,HOME AND KITCHEN II,0.0,0,,,,,,,Guaranda,Bolivar,C,15,1911.0,2013,4,15,2,Saturday
81715,81715,2013-02-15,51,CLEANING,1293.0,0,,,,,,95.95,Guayaquil,Guayas,A,17,1667.0,2013,2,7,1,Friday
1384716,1365114,2015-02-08,12,BEVERAGES,1081.0,0,,,,,,,Latacunga,Cotopaxi,C,15,1200.0,2015,2,6,1,Sunday
958091,949181,2014-06-18,41,BEAUTY,2.0,0,,,,,,106.64,Machala,El Oro,D,4,903.0,2014,6,25,2,Wednesday
333374,327067,2013-07-03,36,BOOKS,0.0,0,Holiday,Local,El Carmen,Cantonizacion de El Carmen,False,101.92,Libertad,Guayas,E,10,896.0,2013,7,27,3,Wednesday
761859,752949,2014-02-28,35,LINGERIE,1.0,0,,,,,,102.88,Playas,Guayas,C,3,682.0,2014,2,9,1,Friday
474070,466942,2013-09-20,10,PERSONAL CARE,91.0,0,,,,,,104.7,Quito,Pichincha,C,15,901.0,2013,9,38,3,Friday
156139,156139,2013-03-29,4,HOME AND KITCHEN II,0.0,0,,,,,,,Quito,Pichincha,D,9,1595.0,2013,3,13,1,Friday
719828,710918,2014-02-04,6,SEAFOOD,28.852,0,,,,,,97.24,Quito,Pichincha,D,13,1604.0,2014,2,6,1,Tuesday
794630,785720,2014-03-18,54,MAGAZINES,0.0,0,,,,,,100.08,El Carmen,Manabi,C,3,731.0,2014,3,12,1,Tuesday
1413796,1394194,2015-02-24,28,EGGS,275.0,0,,,,,,48.48,Guayaquil,Guayas,E,10,1175.0,2015,2,9,1,Tuesday
1221530,1205492,2014-11-09,33,BEAUTY,3.0,0,,,,,,,Quevedo,Los Rios,C,3,1287.0,2014,11,45,4,Sunday
593258,586130,2013-11-25,54,HOME APPLIANCES,0.0,0,,,,,,93.86,El Carmen,Manabi,C,3,805.0,2013,11,48,4,Monday
1450051,1430449,2015-03-16,44,SCHOOL AND OFFICE SUPPLIES,0.0,0,,,,,,43.93,Quito,Pichincha,A,5,3948.0,2015,3,12,1,Monday
1370185,1350583,2015-01-30,53,PERSONAL CARE,146.0,0,,,,,,47.79,Manta,Manabi,D,13,845.0,2015,1,5,1,Friday
592261,585133,2013-11-25,27,EGGS,142.0,0,,,,,,93.86,Daule,Guayas,D,1,1084.0,2013,11,48,4,Monday
633012,625884,2013-12-18,20,CELEBRATION,0.0,0,,,,,,97.59,Quito,Pichincha,B,6,,2013,12,51,4,Wednesday
36971,36971,2013-01-21,46,FROZEN FOODS,136.358,0,,,,,,,Quito,Pichincha,A,14,3186.0,2013,1,4,1,Monday
693561,684651,2014-01-21,2,AUTOMOTIVE,6.0,0,,,,,,94.51,Quito,Pichincha,D,13,1850.0,2014,1,4,1,Tuesday
1011823,995785,2014-07-14,49,EGGS,406.0,0,,,,,,101.73,Quito,Pichincha,A,11,2276.0,2014,7,29,3,Monday
194755,194755,2013-04-20,23,"LIQUOR,WINE,BEER",74.0,0,,,,,,,Ambato,Tungurahua,D,9,1233.0,2013,4,16,2,Saturday
1219447,1203409,2014-11-08,24,SCHOOL AND OFFICE SUPPLIES,0.0,0,,,,,,,Guayaquil,Guayas,D,1,2293.0,2014,11,45,4,Saturday
584824,577696,2013-11-21,18,SCHOOL AND OFFICE SUPPLIES,0.0,0,,,,,,95.35,Quito,Pichincha,B,16,1442.0,2013,11,47,4,Thursday
881084,872174,2014-05-06,30,HOME APPLIANCES,0.0,0,,,,,,99.81,Guayaquil,Guayas,C,3,764.0,2014,5,19,2,Tuesday
581437,574309,2013-11-19,23,EGGS,47.0,0,,,,,,93.35,Ambato,Tungurahua,D,9,1004.0,2013,11,47,4,Tuesday
1213281,1197243,2014-11-04,51,BEVERAGES,4425.0,1,,,,,,77.15,Guayaquil,Guayas,A,17,1590.0,2014,11,45,4,Tuesday
1519102,1499500,2015-04-24,32,GROCERY II,0.0,0,,,,,,55.98,Guayaquil,Guayas,C,3,562.0,2015,4,17,2,Friday
435346,428218,2013-08-29,24,EGGS,178.0,0,,,,,,108.51,Guayaquil,Guayas,D,1,2231.0,2013,8,35,3,Thursday
674233,665323,2014-01-10,27,EGGS,163.0,0,,,,,,92.39,Daule,Guayas,D,1,1147.0,2014,1,2,1,Friday
637184,630056,2013-12-20,37,LAWN AND GARDEN,14.0,0,,,,,,99.11,Cuenca,Azuay,D,2,2142.0,2013,12,51,4,Friday
1228777,1212739,2014-11-13,36,"LIQUOR,WINE,BEER",72.0,0,,,,,,74.13,Libertad,Guayas,E,10,963.0,2014,11,46,4,Thursday
1520141,1500539,2015-04-25,11,PREPARED FOODS,23.0,0,,,,,,,Cayambe,Pichincha,B,6,2369.0,2015,4,17,2,Saturday
453178,446050,2013-09-08,24,"LIQUOR,WINE,BEER",0.0,0,,,,,,,Guayaquil,Guayas,D,1,1887.0,2013,9,36,3,Sunday
17182,17182,2013-01-10,40,"LIQUOR,WINE,BEER",16.0,0,,,,,,93.81,Machala,El Oro,C,3,944.0,2013,1,2,1,Thursday
152768,152768,2013-03-27,45,FROZEN FOODS,230.325,0,,,,,,96.53,Quito,Pichincha,A,11,3139.0,2013,3,13,1,Wednesday
282947,281165,2013-06-07,48,BREAD/BAKERY,431.426,0,,,,,,96.11,Quito,Pichincha,A,14,2640.0,2013,6,23,2,Friday
335759,328631,2013-07-04,3,HOME APPLIANCES,1.0,0,,,,,,,Quito,Pichincha,D,8,2856.0,2013,7,27,3,Thursday
498409,491281,2013-10-03,43,EGGS,108.0,0,,,,,,103.29,Esmeraldas,Esmeraldas,E,10,1163.0,2013,10,40,4,Thursday
1032449,1016411,2014-07-26,28,FROZEN FOODS,84.617,0,,,,,,,Guayaquil,Guayas,E,10,1192.0,2014,7,30,3,Saturday
1274384,1258346,2014-12-09,16,MAGAZINES,0.0,0,,,,,,63.74,Santo Domingo,Santo Domingo de los Tsachilas,C,3,867.0,2014,12,50,4,Tuesday
1059922,1043884,2014-08-10,48,POULTRY,1309.759,1,Holiday,National,Ecuador,Primer Grito de Independencia,False,,Quito,Pichincha,A,14,3838.0,2014,8,32,3,Sunday
750162,741252,2014-02-21,8,CELEBRATION,0.0,0,,,,,,102.53,Quito,Pichincha,D,8,2827.0,2014,2,8,1,Friday
1283119,1267081,2014-12-14,11,GROCERY II,15.0,0,,,,,,,Cayambe,Pichincha,B,6,2860.0,2014,12,50,4,Sunday
1451591,1431989,2015-03-17,38,LAWN AND GARDEN,2.0,0,,,,,,43.39,Loja,Loja,D,4,1418.0,2015,3,12,1,Tuesday
475686,468558,2013-09-20,6,MEATS,460.046,0,,,,,,104.7,Quito,Pichincha,D,13,1642.0,2013,9,38,3,Friday
1418770,1399168,2015-02-27,18,BABY CARE,0.0,0,,,,,,49.84,Quito,Pichincha,B,16,1087.0,2015,2,9,1,Friday
1130835,1114797,2014-09-19,38,MEATS,261.558,26,,,,,,92.43,Loja,Loja,D,4,1628.0,2014,9,38,3,Friday
428828,421700,2013-08-25,40,PET SUPPLIES,0.0,0,,,,,,,Machala,El Oro,C,3,1025.0,2013,8,34,3,Sunday
1499686,1480084,2015-04-13,38,BABY CARE,0.0,0,,,,,,51.95,Loja,Loja,D,4,1735.0,2015,4,16,2,Monday
983258,969002,2014-06-29,47,MAGAZINES,0.0,0,Event,National,Ecuador,Mundial de futbol Brasil: Octavos de Final,False,,Quito,Pichincha,A,14,4682.0,2014,6,26,2,Sunday
1067961,1051923,2014-08-15,24,HOME AND KITCHEN I,0.0,0,Holiday,Local,Riobamba,Fundacion de Riobamba,False,97.3,Guayaquil,Guayas,D,1,2506.0,2014,8,33,3,Friday
921813,912903,2014-05-29,23,MEATS,244.494,0,,,,,,104.26,Ambato,Tungurahua,D,9,998.0,2014,5,22,2,Thursday
1486391,1466789,2015-04-06,15,BREAD/BAKERY,226.0,1,,,,,,52.08,Ibarra,Imbabura,C,15,1495.0,2015,4,15,2,Monday
932433,923523,2014-06-04,21,HOME CARE,0.0,0,,,,,,103.27,Santo Domingo,Santo Domingo de los Tsachilas,B,6,,2014,6,23,2,Wednesday
739049,730139,2014-02-15,45,HARDWARE,3.0,0,,,,,,,Quito,Pichincha,A,11,4367.0,2014,2,7,1,Saturday
167800,167800,2013-04-05,17,POULTRY,52.381,0,,,,,,92.76,Quito,Pichincha,C,12,1018.0,2013,4,14,2,Friday
315004,312307,2013-06-25,21,POULTRY,0.0,0,Holiday,Local,Machala,Fundacion de Machala,False,95.25,Santo Domingo,Santo Domingo de los Tsachilas,B,6,,2013,6,26,2,Tuesday
674889,665979,2014-01-10,45,CELEBRATION,35.0,0,,,,,,92.39,Quito,Pichincha,A,11,3615.0,2014,1,2,1,Friday
493554,486426,2013-09-30,8,CELEBRATION,0.0,0,,,,,,102.36,Quito,Pichincha,D,8,2672.0,2013,9,40,3,Monday
632515,625387,2013-12-17,7,BOOKS,0.0,0,,,,,,96.99,Quito,Pichincha,D,8,2212.0,2013,12,51,4,Tuesday
210462,210462,2013-04-29,14,LINGERIE,1.0,0,Holiday,National,Ecuador,Viernes Santo,False,94.09,Riobamba,Chimborazo,C,7,1550.0,2013,4,18,2,Monday
